235,Seawind,1260,2018,41,22.25,4,18077,460000.00,3,2,catamaran,fractional sloop,2x saildrive,diesel,29HP
236,Sirius,22,1980,21,7.92,5,2000,52000.00,1,1,mono,masthead sloop,Yanmar,diesel,7.5HP
237,Sirius,28,1983,28,9.67,4.3,6700,17500.00,0,1,mono,masthead sloop,Volvo Penta,diesel,18HP
238,Sirius,31,1986,30.5,10.17,4.92,9920,142500.00,2,1,mono,masthead sloop,Volvo Penta,diesel,29HP
239,Sirius,32DS,1996,31.82,10.43,3.77,12125,450000.00,4,2,catamaran,fractional sloop,Volvo Penta,diesel,55HP
240,Surfari,50,2018,50,14.66,5.6,44900,2800000.00,3,3,mono,fractional sloop,,diesel,80HP
241,Sweden,42,2003,43.47,12.8,6.89,22046,150000.00,2,1,mono,masthead sloop,Yanmar,diesel,
242,Sweden,390,1998,38.98,12.7,7.38,16755,510000.00,3,2,mono,,,,
243,Tartan,40,1987,40.25,12.67,7.5,17250,450000.00,3,2,mono,,,,
244,Tartan,37,2017,37,12,4.8,15000,15000.00,0,0,mono,fractional sloop,Faryman,diesel,12HP
245,Tartan,T-10,1979,33,9.25,5,10000,450000.00,5,3,mono,,,,
246,Tripp,36,1991,36,11.3,6,9685,252000.00,3,2,mono,fractional sloop,Volvo Penta,diesel,
247,Unik Yachts,Lion 870,2017,28.65,9.8,5.9,6393,75000.00,1,1,mono,fractional sloop,,,
248,Venture Sport Boats,Malbec 18,2017,18,7.12,3.5,15000,19775.00,0,0,mono,fractional sloop,,,
249,X-Yachts,Xc 42,2012,42,13,6,22928,356000.00,3,2,mono,fractional sloop,,,
250,X-Yachts,X-43,2006,42.42,13,7.22,18960,300000.00,3,2,mono,fractional sloop,Volvo Penta,diesel,
251,X-Yachts,X-46,2005,45.96,13.62,7.87,22928,19900.00,0,0,mono,fractional sloop,n/a,,
